Uid,ClusterId,Categories
183219009880065,1,"4100,1003,101,"
183219009880065,1,"4100,1003,10000000,"
183219009880065,1,"4100,1003,10939072,"
183219009880065,1,"4100,1003,3970321,"
183219009880065,1,"4100,1003,10942001,"
183219009880065,1,"4100,1003,10018165,"
183219009880065,1,"4100,1003,10018166,"
183219009880065,1,"4100,1003,10018167,"
183219009880065,1,"4100,1003,10018168,"
183219009880065,1,"4100,1003,10018169,"
183219009880065,1,"4100,1003,10018170,"
183219009880065,1,"4100,1003,10018171,"
183219009880065,1,"4100,1003,10018172,"
183219009880065,1,"4100,1003,10018173,"
183219009880065,1,"4100,1003,10018174,"
183219009880065,1,"4100,1003,10018175,"
183219009880065,1,"4100,1003,10018176,"
183219009880065,1,"4100,1003,10018177,"
183219009880065,1,"4100,1003,10018178,"
183219009880065,1,"4100,1003,10018179,"
183219009880065,1,"4100,1003,10018180,"
183219009880065,1,"4100,1003,10018181,"
183219009880065,1,"4100,1003,10018182,"
183219009880065,1,"4100,1003,10018183,"
183219009880065,1,"4100,1003,10018184,"
183219009880065,1,"4100,1003,10018185,"
183219009880065,1,"4100,1003,10018188,"
183219009880065,1,"4100,1003,10017324,"
183219009880065,1,"4100,1003,10017325,"
183219009880065,1,"4100,1003,10017326,"
183219009880065,1,"4100,1003,10017327,"
183219009880065,1,"4100,1003,10017328,"
183219009880065,1,"4100,1003,10017329,"
183219009880065,1,"4100,1003,10017330,"
183219009880065,1,"4100,1003,10017331,"
183219009880065,1,"4100,1003,10017332,"
183219009880065,1,"4100,1003,10017333,"
183219009880065,1,"4100,1003,10017334,"
183219009880065,1,"4100,1003,10017335,"
183219009880065,1,"4100,1003,10017336,"
183219009880065,1,"4100,1003,10018218,"
183219009880065,1,"4100,1003,10018220,"
183219009880065,1,"4100,1003,10018221,"
183219009880065,1,"4100,1003,10018222,"
183219009880065,1,"4100,1003,10018223,"
183219009880065,1,"4100,1003,10018224,"
183219009880065,1,"4100,1003,10018225,"
183219009880065,1,"4100,1003,10018226,"
183219009880065,1,"4100,1003,10018227,"
183219009880065,1,"4100,1003,10018228,"
183219009880065,1,"4100,1003,10018229,"
183219009880065,1,"4100,1003,10018230,"
183219009880065,1,"4100,1003,10018231,"
183219009880065,1,"4100,1003,10018233,"
183219009880065,1,"4100,1003,10018234,"
183219009880065,1,"4100,1003,10018235,"
183219009880065,1,"4100,1003,10018236,"
183219009880065,1,"4100,1003,10018237,"
183219009880065,1,"4100,1003,10018238,"
183219009880065,1,"4100,1003,10018239,"
183219009880065,1,"4100,1003,10018240,"
183219009880065,1,"4100,1003,10018241,"
183219009880065,1,"4100,1003,10018242,"
183219009880065,1,"4100,1003,10018243,"
183219009880065,1,"4100,1003,10017476,"
183219009880065,1,"4100,1003,10017477,"
183219009880065,1,"4100,1003,10017479,"
183219009880065,1,"4100,1003,10017480,"
183219009880065,1,"4100,1003,10017481,"
183219009880065,1,"4100,1003,10017482,"
183219009880065,1,"4100,1003,10017483,"
183219009880065,1,"4100,1003,10017484,"
183219009880065,1,"4100,1003,10017485,"
183219009880065,1,"4100,1003,10017486,"
183219009880065,1,"4100,1003,10017487,"
183219009880065,1,"4100,1003,10017488,"
183219009880065,1,"4100,1003,10017489,"
183219009880065,1,"4100,1003,10017490,"
183219009880065,1,"4100,1003,10017491,"
183219009880065,1,"4100,1003,10017337,"
183219009880065,1,"4100,1003,10017338,"
183219009880065,1,"4100,1003,10017339,"
183219009880065,1,"4100,1003,10017340,"
183219009880065,1,"4100,1003,10017341,"
183219009880065,1,"4100,1003,10017342,"
183219009880065,1,"4100,1003,10017343,"
183219009880065,1,"4100,1003,10017344,"
183219009880065,1,"4100,1003,10017345,"
183219009880065,1,"4100,1003,10017346,"
183219009880065,1,"4100,1003,10017347,"
183219009880065,1,"4100,1003,10017348,"
183219009880065,1,"4100,1003,10017349,"
183219009880065,1,"4100,1003,10017350,"
183219009880065,1,"4100,1003,10017351,"
183219009880065,1,"4100,1003,10017352,"
183219009880065,1,"4100,1003,10017353,"
183219009880065,1,"4100,1003,10017354,"
183219009880065,1,"4100,1003,10017355,"
183219009880065,1,"4100,1003,10017356,"
183219009880065,1,"4100,1003,10017357,"
183219009880065,1,"4100,1003,10017358,"
183219009880065,1,"4100,1003,10017359,"
183219009880065,1,"4100,1003,10017360,"
183219009880065,1,"4100,1003,10017361,"
183219009880065,1,"4100,1003,10017362,"
183219009880065,1,"4100,1003,10017364,"
