Uid,ClusterId,Categories
183219009880065,1,"4100,1006,10657643,"
183219009880065,1,"4100,1006,10657644,"
183219009880065,1,"4100,1006,10081199,"
183219009880065,1,"4100,1006,10081200,"
183219009880065,1,"4100,1006,10081201,"
183219009880065,1,"4100,1006,10081202,"
183219009880065,1,"4100,1006,10081203,"
183219009880065,1,"4100,1006,10081204,"
183219009880065,1,"4100,1006,10081205,"
183219009880065,1,"4100,1006,10081206,"
183219009880065,1,"4100,1006,10081207,"
183219009880065,1,"4100,1006,10081208,"
183219009880065,1,"4100,1006,10081209,"
183219009880065,1,"4100,1006,10081210,"
183219009880065,1,"4100,1006,10081211,"
183219009880065,1,"4100,1006,10081212,"
183219009880065,1,"4100,1006,10081213,"
183219009880065,1,"4100,1006,10081214,"
183219009880065,1,"4100,1006,10081215,"
183219009880065,1,"4100,1006,10081216,"
183219009880065,1,"4100,1006,10081217,"
183219009880065,1,"4100,1006,10081218,"
183219009880065,1,"4100,1006,10081219,"
183219009880065,1,"4100,1006,10081220,"
183219009880065,1,"4100,1006,10081221,"
183219009880065,1,"4100,1006,10081222,"
183219009880065,1,"4100,1006,10081223,"
183219009880065,1,"4100,1006,10081224,"
183219009880065,1,"4100,1006,10081225,"
183219009880065,1,"4100,1006,10081226,"
183219009880065,1,"4100,1006,10081227,"
183219009880065,1,"4100,1006,10081228,"
183219009880065,1,"4100,1006,10081229,"
183219009880065,1,"4100,1006,10081230,"
183219009880065,1,"4100,1006,10081231,"
183219009880065,1,"4100,1006,10081232,"
183219009880065,1,"4100,1006,10081233,"
183219009880065,1,"4100,1006,10081234,"
183219009880065,1,"4100,1006,10081235,"
183219009880065,1,"4100,1006,10081236,"
183219009880065,1,"4100,1006,10081237,"
183219009880065,1,"4100,1006,10081238,"
183219009880065,1,"4100,1006,10081239,"
183219009880065,1,"4100,1006,10081240,"
183219009880065,1,"4100,1006,10081241,"
183219009880065,1,"4100,1006,10081242,"
183219009880065,1,"4100,1006,10081243,"
183219009880065,1,"4100,1006,10081244,"
183219009880065,1,"4100,1006,10081307,"
183219009880065,1,"4100,1006,10081026,"
183219009880065,1,"4100,1006,10081118,"
183219009880065,1,"4100,1006,10081119,"
183219009880065,1,"4100,1006,10081120,"
183219009880065,1,"4100,1006,10081121,"
183219009880065,1,"4100,1006,10081122,"
183219009880065,1,"4100,1006,10081123,"
183219009880065,1,"4100,1006,10081124,"
183219009880065,1,"4100,1006,10081027,"
183219009880065,1,"4100,1006,10081028,"
183219009880065,1,"4100,1006,10081029,"
183219009880065,1,"4100,1006,10081030,"
183219009880065,1,"4100,1006,10081031,"
183219009880065,1,"4100,1006,10081032,"
183219009880065,1,"4100,1006,10081033,"
183219009880065,1,"4100,1006,10081034,"
183219009880065,1,"4100,1006,10081035,"
183219009880065,1,"4100,1006,10081036,"
183219009880065,1,"4100,1006,10081037,"
183219009880065,1,"4100,1006,10081038,"
183219009880065,1,"4100,1006,10081039,"
183219009880065,1,"4100,1006,10081040,"
183219009880065,1,"4100,1006,10081041,"
183219009880065,1,"4100,1006,10081042,"
183219009880065,1,"4100,1006,10081043,"
183219009880065,1,"4100,1006,10081044,"
183219009880065,1,"4100,1006,10081045,"
183219009880065,1,"4100,1006,10081046,"
183219009880065,1,"4100,1006,10081047,"
183219009880065,1,"4100,1006,10081048,"
183219009880065,1,"4100,1006,10081049,"
183219009880065,1,"4100,1006,10081050,"
183219009880065,1,"4100,1006,10081051,"
183219009880065,1,"4100,1006,10081052,"
183219009880065,1,"4100,1006,10081053,"
183219009880065,1,"4100,1006,10081054,"
183219009880065,1,"4100,1006,10081055,"
183219009880065,1,"4100,1006,10081056,"
183219009880065,1,"4100,1006,10081057,"
183219009880065,1,"4100,1006,10081058,"
183219009880065,1,"4100,1006,10081059,"
183219009880065,1,"4100,1006,10081060,"
183219009880065,1,"4100,1006,10081061,"
183219009880065,1,"4100,1006,10081062,"
183219009880065,1,"4100,1006,10081063,"
183219009880065,1,"4100,1006,10081064,"
183219009880065,1,"4100,1006,10081065,"
183219009880065,1,"4100,1006,10081066,"
183219009880065,1,"4100,1006,10081067,"
183219009880065,1,"4100,1006,10081068,"
183219009880065,1,"4100,1006,10081069,"
183219009880065,1,"4100,1006,10081070,"
183219009880065,1,"4100,1006,10081071,"
183219009880065,1,"4100,1006,10081072,"
183219009880065,1,"4100,1006,10081073,"
183219009880065,1,"4100,1006,10081074,"
183219009880065,1,"4100,1006,10081075,"
183219009880065,1,"4100,1006,10081076,"
183219009880065,1,"4100,1006,10081077,"
183219009880065,1,"4100,1006,10081078,"
183219009880065,1,"4100,1006,10081079,"
183219009880065,1,"4100,1006,10081080,"
183219009880065,1,"4100,1006,10081081,"
183219009880065,1,"4100,1006,10081186,"
183219009880065,1,"4100,1006,10081187,"
183219009880065,1,"4100,1006,10081188,"
183219009880065,1,"4100,1006,10081189,"
183219009880065,1,"4100,1006,10081190,"
183219009880065,1,"4100,1006,10081191,"
183219009880065,1,"4100,1006,10081192,"
183219009880065,1,"4100,1006,10081193,"
183219009880065,1,"4100,1006,10081194,"
183219009880065,1,"4100,1006,10081195,"
183219009880065,1,"4100,1006,10081196,"
183219009880065,1,"4100,1006,10081197,"
183219009880065,1,"4100,1006,10081198,"
183219009880065,1,"4100,1006,10081082,"
183219009880065,1,"4100,1006,10081083,"
183219009880065,1,"4100,1006,10081084,"
183219009880065,1,"4100,1006,10081085,"
183219009880065,1,"4100,1006,10081086,"
183219009880065,1,"4100,1006,10081087,"
183219009880065,1,"4100,1006,10081088,"
183219009880065,1,"4100,1006,10081089,"
183219009880065,1,"4100,1006,10081091,"
183219009880065,1,"4100,1006,10081092,"
183219009880065,1,"4100,1006,10081093,"
183219009880065,1,"4100,1006,10081094,"
183219009880065,1,"4100,1006,10081095,"
183219009880065,1,"4100,1006,10081096,"
183219009880065,1,"4100,1006,10081097,"
183219009880065,1,"4100,1006,10081098,"
183219009880065,1,"4100,1006,10081099,"
183219009880065,1,"4100,1006,10081101,"
183219009880065,1,"4100,1006,10081102,"
183219009880065,1,"4100,1006,10081103,"
183219009880065,1,"4100,1006,10081104,"
183219009880065,1,"4100,1006,10081106,"
183219009880065,1,"4100,1006,10081107,"
183219009880065,1,"4100,1006,10081108,"
183219009880065,1,"4100,1006,10081109,"
183219009880065,1,"4100,1006,10081110,"
183219009880065,1,"4100,1006,10081111,"
183219009880065,1,"4100,1006,10081112,"
183219009880065,1,"4100,1006,10081113,"
183219009880065,1,"4100,1006,10081114,"
183219009880065,1,"4100,1006,10081115,"
183219009880065,1,"4100,1006,10081116,"
183219009880065,1,"4100,1006,10081117,"
183219009880065,1,"4100,1006,10081125,"
183219009880065,1,"4100,1006,10081126,"
183219009880065,1,"4100,1006,10081127,"
183219009880065,1,"4100,1006,10081128,"
183219009880065,1,"4100,1006,10081129,"
183219009880065,1,"4100,1006,10081130,"
183219009880065,1,"4100,1006,10081131,"
183219009880065,1,"4100,1006,10081132,"
183219009880065,1,"4100,1006,10081133,"
183219009880065,1,"4100,1006,10081134,"
183219009880065,1,"4100,1006,10081135,"
183219009880065,1,"4100,1006,10081136,"
183219009880065,1,"4100,1006,10081137,"
183219009880065,1,"4100,1006,10081138,"
183219009880065,1,"4100,1006,10081139,"
183219009880065,1,"4100,1006,10081140,"
183219009880065,1,"4100,1006,10081141,"
183219009880065,1,"4100,1006,10081142,"
183219009880065,1,"4100,1006,10081143,"
183219009880065,1,"4100,1006,10081144,"
183219009880065,1,"4100,1006,10081145,"
183219009880065,1,"4100,1006,10081146,"
183219009880065,1,"4100,1006,10081147,"
183219009880065,1,"4100,1006,10081148,"
183219009880065,1,"4100,1006,10081149,"
183219009880065,1,"4100,1006,10081150,"
183219009880065,1,"4100,1006,10081151,"
183219009880065,1,"4100,1006,10081152,"
183219009880065,1,"4100,1006,10081153,"
183219009880065,1,"4100,1006,10081154,"
183219009880065,1,"4100,1006,10081245,"
183219009880065,1,"4100,1006,10081246,"
183219009880065,1,"4100,1006,10081247,"
183219009880065,1,"4100,1006,10081248,"
183219009880065,1,"4100,1006,10081249,"
183219009880065,1,"4100,1006,10081250,"
183219009880065,1,"4100,1006,10081251,"
